Canias Kod;Varyans-TR;Varyans-EN;Ana Ürün-TR;Ana Ürün - EN;Moq;Paket Adedi;Status;Kategori;Ana Ürün Kodu;Ürün Kısa Kodu;Katalog ID;Katalog Sayfa Numarası;;;;;;;;;;
04.01.605;A6 PLASTİK ÇERÇEVE MAV;Plastic Frame A6 Blue;PLASTİK ÇERÇEVE;Plastic Frame;2000;10;A;01.1;01;01101;01101032;0;;;;;;;;;;
04.01.606;A6 PLASTİK ÇERÇEVE SAR;Plastic Frame A6 Yellow;PLASTİK ÇERÇEVE;Plastic Frame;2000;10;A;01.1;01;01101;01101033;0;;;;;;;;;;
04.01.607;A6 PLASTİK ÇERÇEVE YES;Plastic Frame A6 Green;PLASTİK ÇERÇEVE;Plastic Frame;2000;10;A;01.1;01;01101;01101034;0;;;;;;;;;;
04.01.608;A6 PLASTİK ÇERÇEVE TUR;Plastic Frame A6 Orange;PLASTİK ÇERÇEVE;Plastic Frame;2000;10;A;01.1;01;01101;01101035;0;;;;;;;;;;
04.01.609;A6 PLASTİK ÇERÇEVE GRI;Plastic Frame A6 Gray;PLASTİK ÇERÇEVE;Plastic Frame;2000;10;A;01.1;01;01101;01101036;0;;;;;;;;;;
04.10.320;A3 U CEP PVC ANTİREFL 200 MKR ;U Pocket Frame Insert A3 200 Micron;U-CEP;Insert Protector PVC U Pocket;0;5;A;01.1;02;01102;01102001;0;;;;;;;;;;
04.10.340;A3 U CEP PVC ANTİREFL 400 MKR ;U Pocket Frame Insert A3 400 Micron;U-CEP;Insert Protector PVC U Pocket;0;10;A;01.1;02;01102;01102002;0;;;;;;;;;;
04.10.420;A4 U CEP PVC ANTİREFL 200 MKR ;U Pocket Frame Insert A4 200 Micron;U-CEP;Insert Protector PVC U Pocket;0;10;A;01.1;02;01102;01102003;0;;;;;;;;;;
04.10.440;A4 U CEP PVC ANTİREFL 400 MKR ;U Pocket Frame Insert A4 400 Micron;U-CEP;Insert Protector PVC U Pocket;0;10;A;01.1;02;01102;01102004;0;;;;;;;;;;
04.10.520;A5 U CEP PVC ANTİREFL 200 MKR ;"U Pocket Frame Insert A5 200 Micron
";U-CEP;Insert Protector PVC U Pocket;0;10;A;01.1;02;01102;01102005;0;;;;;;;;;;
04.10.540;A5 U CEP PVC ANTİREFL 400 MKR ;U Pocket Frame Insert A5 400 Micron;U-CEP;Insert Protector PVC U Pocket;1000;10;A;01.1;02;01102;01102006;0;;;;;;;;;;
04.10.620;A6 U CEP PVC ANTİREFL 200 MKR ;U Pocket Frame Insert A6 200 Micron;U-CEP;Insert Protector PVC U Pocket;0;10;A;01.1;02;01102;01102007;0;;;;;;;;;;
04.10.640;A6 U CEP PVC ANTİREFL 400 MKR ;İngilizce Adı Yok;U-CEP;Insert Protector PVC U Pocket;0;10;P;01.1;02;01102;01102008;0;;;;;;;;;;
N/A;BASKILI U-CEP (ÖZEL);Custom Printed U-Pocket;BASKILI U-CEP (ÖZEL);Custom Printed U-Pocket;0;0;K;01.1;03;01103;01103001;0;;;;;;;;;;
01.11.412S-1;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA ŞEF;"Vega Frame Stand Set (Special Serie) Trans. A4 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201001;0;;;;;;;;;;
01.11.412S-2;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA SİY;"Vega Frame Stand Set (Special Serie) Black  A4 300/600
";AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;A;01.2;01;01201;01201002;0;;;;;;;;;;
01.11.412S-3;VEGA A4 AYAKLI ÇERÇEVE STD SET SMRA BEY;Vega Frame Stand Set (Special Serie) Whi;AYAKLI ÇERÇEVE SET (VEGA);VEGA Frame Stand Set;0;10;P;01.2;01;01201;01201003;0;;;;;;;;;;
